"Id","Indicator","CollectionFrequency","YearType","Year","Total","Apr","May","Jun","Q1","Jul","Aug","Sep","Q2","Oct","Nov","Dec","Q3","Jan","Feb","Mar","Q4","Polarity"
"BYS236","% of residents who volunteer at least once per week (All Responses)","Annual","Financial Year","2011/2012","NA","","","","","","","","","","","","","","","","","Up is Good"
"BYS236","% of residents who volunteer at least once per week (All Responses)","Annual","Financial Year","2012/2013","16.00","","","","","","","","","","","","","","","","","Up is Good"
"BYS236","% of residents who volunteer at least once per week (All Responses)","Annual","Financial Year","2013/2014","21.00","","","","","","","","","","","","","","","","","Up is Good"
"BYS236","% of residents who volunteer at least once per week (All Responses)","Annual","Financial Year","2014/2015","NC","","","","","","","","","","","","","","","","","Up is Good"
"BYS236","% of residents who volunteer at least once per week (All Responses)","Annual","Financial Year","2015/2016","NC","","","","","","","","","","","","","","","","","Up is Good"
"LIB01","Library Visits - All Libraries","Monthly","Financial Year","2011/2012","1009148.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01","Library Visits - All Libraries","Monthly","Financial Year","2012/2013","1005595.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01","Library Visits - All Libraries","Monthly","Financial Year","2013/2014","1043285.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01","Library Visits - All Libraries","Monthly","Financial Year","2014/2015","799083.00","79285.00","80749.00","50333.00","210367.00","65765.00","61613.00","57461.00","184839.00","56479.00","51650.00","37320.00","145449.00","87197.00","80377.00","90854.00","258428.00","Up is Good"
"LIB01","Library Visits - All Libraries","Monthly","Financial Year","2015/2016","997606.00","82346.00","81528.00","83963.00","247837.00","96661.00","91136.00","86583.00","274380.00","88906.00","78734.00","60843.00","228483.00","80107.00","84228.00","82571.00","246906.00","Up is Good"
"LIB01","Library Visits - All Libraries","Monthly","Financial Year","2016/2017","1025480.00","86011.00","80379.00","92914.00","259304.00","101113.00","113880.00","90303.00","305296.00","84638.00","74999.00","63584.00","223221.00","77741.00","74449.00","85469.00","237659.00","Up is Good"
"LIB01","Library Visits - All Libraries","Monthly","Financial Year","2017/2018","1014173.00","78601.00","87772.00","89253.00","255626.00","97666.00","103878.00","90990.00","292534.00","87882.00","79707.00","62762.00","230351.00","79995.00","73280.00","82387.00","235662.00","Up is Good"
"LIB01","Library Visits - All Libraries","Monthly","Financial Year","2018/2019","1045617.00","79497.00","81301.00","85778.00","246576.00","108246.00","102687.00","89360.00","300293.00","94220.00","84127.00","63677.00","242024.00","88272.00","82479.00","85973.00","256724.00","Up is Good"
"LIB01","Library Visits - All Libraries","Monthly","Financial Year","2019/2020","1023034.00","84859.00","89509.00","89726.00","264094.00","101892.00","106394.00","90651.00","298937.00","90883.00","83090.00","65868.00","239841.00","89106.00","80074.00","50982.00","220162.00","Up is Good"
"LIB01","Library Visits - All Libraries","Monthly","Financial Year","2020/2021","183706.00","0.00","0.00","0.00","0.00","21556.00","26405.00","33095.00","81056.00","38084.00","12611.00","22356.00","73051.00","8761.00","6475.00","14363.00","29599.00","Up is Good"
"LIB01","Library Visits - All Libraries","Monthly","Financial Year","2021/2022","617771.00","26865.00","36014.00","43940.00","106819.00","49483.00","60460.00","57399.00","167342.00","59021.00","60093.00","43985.00","163099.00","57077.00","56159.00","67275.00","180511.00","Up is Good"
