indicator_id,Indicator,CollectionFrequency,financialYear,Total,Apr,May,Jun,Q1,Jul,Aug,Sep,Q2,Oct,Nov,Dec,Q3,Jan,Feb,Mar,Q4,Polarity,Activity,LibraryName
BYS236,% of residents who volunteer at least once per week (All Responses),Annual,2012-03-31,,,,,,,,,,,,,,,,,,Up is Good,% of residents who volunteer at least once per week (All Responses),No Name
BYS236,% of residents who volunteer at least once per week (All Responses),Annual,2013-03-31,16.00,,,,,,,,,,,,,,,,,Up is Good,% of residents who volunteer at least once per week (All Responses),No Name
BYS236,% of residents who volunteer at least once per week (All Responses),Annual,2014-03-31,21.00,,,,,,,,,,,,,,,,,Up is Good,% of residents who volunteer at least once per week (All Responses),No Name
BYS236,% of residents who volunteer at least once per week (All Responses),Annual,2015-03-31,-1,,,,,,,,,,,,,,,,,Up is Good,% of residents who volunteer at least once per week (All Responses),No Name
BYS236,% of residents who volunteer at least once per week (All Responses),Annual,2016-03-31,-1,,,,,,,,,,,,,,,,,Up is Good,% of residents who volunteer at least once per week (All Responses),No Name
LIB01,Library Visits - All Libraries,Monthly,2012-03-31,1009148.00,,,,,,,,,,,,,,,,,Up is Good,Library Visits,All Libraries
LIB01,Library Visits - All Libraries,Monthly,2013-03-31,1005595.00,,,,,,,,,,,,,,,,,Up is Good,Library Visits,All Libraries
LIB01,Library Visits - All Libraries,Monthly,2014-03-31,1043285.00,,,,,,,,,,,,,,,,,Up is Good,Library Visits,All Libraries
LIB01,Library Visits - All Libraries,Monthly,2015-03-31,799083.00,79285.0,80749.0,50333.0,210367.0,65765.0,61613.0,57461.0,184839.00,56479.00,51650.00,37320.00,145449.00,87197.00,80377.00,90854.00,258428.00,Up is Good,Library Visits,All Libraries
LIB01,Library Visits - All Libraries,Monthly,2016-03-31,997606.00,82346.0,81528.0,83963.0,247837.0,96661.0,91136.0,86583.0,274380.00,88906.00,78734.00,60843.00,228483.00,80107.00,84228.00,82571.00,246906.00,Up is Good,Library Visits,All Libraries
LIB01,Library Visits - All Libraries,Monthly,2017-03-31,1025480.00,86011.0,80379.0,92914.0,259304.0,101113.0,113880.0,90303.0,305296.00,84638.00,74999.00,63584.00,223221.00,77741.00,74449.00,85469.00,237659.00,Up is Good,Library Visits,All Libraries
LIB01,Library Visits - All Libraries,Monthly,2018-03-31,1014173.00,78601.0,87772.0,89253.0,255626.0,97666.0,103878.0,90990.0,292534.00,87882.00,79707.00,62762.00,230351.00,79995.00,73280.00,82387.00,235662.00,Up is Good,Library Visits,All Libraries
