seqNo,indicator_id,financialYear,Total,April,May,June,Q1,July,August,September,Q2,October,November,December,Q3,January,February,March,Q4,Polarity
1,BYS236,2012-03-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
2,BYS236,2013-03-31,16.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
3,BYS236,2014-03-31,21.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
4,BYS236,2015-03-31,-1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
5,BYS236,2016-03-31,-1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
399,TAP13a,2013-03-31,45.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
400,TAP13a,2014-03-31,55.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
401,TAP13a,2015-03-31,-1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
402,TAP13a,2016-03-31,-1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
403,TAP13a,2017-03-31,64.3,0.0,0.0,0.0,64.8,0.0,,0.0,-1.0,0.0,0.0,0.0,64.3,0.0,0.0,0.0,-1.0,Up is Good
404,TAP13a,2018-03-31,66.22,0.0,0.0,0.0,66.44,0.0,,0.0,-1.0,0.0,0.0,0.0,66.22,0.0,0.0,0.0,-1.0,Up is Good
405,TAP13a,2019-03-31,64.72,0.0,0.0,0.0,67.83,0.0,,0.0,-1.0,0.0,0.0,0.0,64.72,0.0,0.0,0.0,-1.0,Up is Good
406,TAP13a,2020-03-31,67.17,0.0,0.0,0.0,64.98,0.0,,0.0,-1.0,0.0,0.0,0.0,67.17,0.0,0.0,0.0,-1.0,Up is Good
407,TAP13a,2021-03-31,71.22,0.0,0.0,0.0,72.27,0.0,,0.0,71.22,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,Up is Good
408,TAP13a,2022-03-31,61.35,0.0,0.0,0.0,56.0,0.0,,0.0,-1.0,0.0,0.0,0.0,61.35,0.0,0.0,0.0,-1.0,Up is Good
409,TAP13a,2023-03-31,0.0,0.0,0.0,0.0,65.38,0.0,,0.0,0.0,0.0,0.0,0.0,60.64,0.0,0.0,0.0,0.0,Up is Good
410,TAP13b,2013-03-31,54.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Bad
411,TAP13b,2014-03-31,45.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Bad
412,TAP13b,2015-03-31,-1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Bad
413,TAP13b,2016-03-31,-1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Bad
414,TAP13b,2017-03-31,32.66,0.0,0.0,0.0,32.5,0.0,,0.0,-1.0,0.0,0.0,0.0,32.66,0.0,0.0,0.0,-1.0,Up is Bad
415,TAP13b,2018-03-31,31.32,0.0,0.0,0.0,30.65,0.0,,0.0,-1.0,0.0,0.0,0.0,31.32,0.0,0.0,0.0,-1.0,Up is Bad
416,TAP13b,2019-03-31,30.79,0.0,0.0,0.0,30.0,0.0,,0.0,-1.0,0.0,0.0,0.0,30.79,0.0,0.0,0.0,-1.0,Up is Bad
417,TAP13b,2020-03-31,30.58,0.0,0.0,0.0,31.86,0.0,,0.0,-1.0,0.0,0.0,0.0,30.58,0.0,0.0,0.0,-1.0,Up is Bad
418,TAP13b,2021-03-31,24.81,0.0,0.0,0.0,24.79,0.0,,0.0,24.81,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,Up is Bad
419,TAP13b,2022-03-31,36.25,0.0,0.0,0.0,41.0,0.0,,0.0,-1.0,0.0,0.0,0.0,36.25,0.0,0.0,0.0,-1.0,Up is Bad
420,TAP13b,2023-03-31,0.0,0.0,0.0,0.0,33.46,0.0,,0.0,0.0,0.0,0.0,0.0,36.17,0.0,0.0,0.0,0.0,Up is Bad
421,TAP31a,2013-03-31,81.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
422,TAP31a,2014-03-31,70.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
423,TAP31a,2015-03-31,-1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
424,TAP31a,2016-03-31,-1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
425,TAP31a,2017-03-31,76.41,0.0,0.0,0.0,77.4,0.0,,0.0,-1.0,0.0,0.0,0.0,76.41,0.0,0.0,0.0,-1.0,Up is Good
426,TAP31a,2018-03-31,69.48,0.0,0.0,0.0,76.4,0.0,,0.0,-1.0,0.0,0.0,0.0,69.48,0.0,0.0,0.0,-1.0,Up is Good
427,TAP31a,2019-03-31,76.67,0.0,0.0,0.0,74.84,0.0,,0.0,-1.0,0.0,0.0,0.0,76.67,0.0,0.0,0.0,-1.0,Up is Good
428,TAP31a,2020-03-31,74.75,0.0,0.0,0.0,74.58,0.0,,0.0,-1.0,0.0,0.0,0.0,74.75,0.0,0.0,0.0,-1.0,Up is Good
429,TAP31a,2021-03-31,62.78,0.0,0.0,0.0,69.78,0.0,,0.0,62.78,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,Up is Good
430,TAP31a,2022-03-31,70.28,0.0,0.0,0.0,76.0,0.0,,0.0,-1.0,0.0,0.0,0.0,70.28,0.0,0.0,0.0,-1.0,Up is Good
431,TAP31a,2023-03-31,0.0,0.0,0.0,0.0,71.67,0.0,,0.0,0.0,0.0,0.0,0.0,70.32,0.0,0.0,0.0,0.0,Up is Good
432,TAP31b,2013-03-31,7.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Bad
433,TAP31b,2014-03-31,16.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Bad
434,TAP31b,2015-03-31,-1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Bad
435,TAP31b,2016-03-31,-1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Bad
436,TAP31b,2017-03-31,15.32,0.0,0.0,0.0,14.0,0.0,,0.0,-1.0,0.0,0.0,0.0,15.32,0.0,0.0,0.0,-1.0,Up is Bad
437,TAP31b,2018-03-31,21.0,0.0,0.0,0.0,15.96,0.0,,0.0,-1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,-1.0,Up is Bad
438,TAP31b,2019-03-31,16.44,0.0,0.0,0.0,17.55,0.0,,0.0,-1.0,0.0,0.0,0.0,16.44,0.0,0.0,0.0,-1.0,Up is Bad
439,TAP31b,2020-03-31,17.75,0.0,0.0,0.0,17.44,0.0,,0.0,-1.0,0.0,0.0,0.0,17.75,0.0,0.0,0.0,-1.0,Up is Bad
440,TAP31b,2021-03-31,17.62,0.0,0.0,0.0,13.64,0.0,,0.0,17.62,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,Up is Bad
441,TAP31b,2022-03-31,20.68,0.0,0.0,0.0,16.0,0.0,,0.0,-1.0,0.0,0.0,0.0,20.68,0.0,0.0,0.0,-1.0,Up is Bad
442,TAP31b,2023-03-31,0.0,0.0,0.0,0.0,18.54,0.0,,0.0,0.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0,0.0,Up is Bad
