indicator_id,Activity,LibraryName,CollectionFrequency,financialYear,Total,April,May,June,Q1,July,Aug,September,Q2,October,November,December,Q3,January,February,March,Q4,Polarity
BYS236,% of residents who volunteer at least once per week (All Responses),No Name,Annual,2012-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
BYS236,% of residents who volunteer at least once per week (All Responses),No Name,Annual,2013-03-31,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
BYS236,% of residents who volunteer at least once per week (All Responses),No Name,Annual,2014-03-31,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
BYS236,% of residents who volunteer at least once per week (All Responses),No Name,Annual,2015-03-31,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
BYS236,% of residents who volunteer at least once per week (All Responses),No Name,Annual,2016-03-31,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01,Library Visits,All Libraries,Monthly,2012-03-31,1009148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01,Library Visits,All Libraries,Monthly,2013-03-31,1005595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01,Library Visits,All Libraries,Monthly,2014-03-31,1043285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01,Library Visits,All Libraries,Monthly,2015-03-31,799083.0,79285.0,80749.0,50333.0,210367.0,65765.0,61613.0,57461.0,184839.0,56479.0,51650.0,37320.0,145449.0,87197.0,80377.0,90854.0,258428.0,Up is Good
LIB01,Library Visits,All Libraries,Monthly,2016-03-31,997606.0,82346.0,81528.0,83963.0,247837.0,96661.0,91136.0,86583.0,274380.0,88906.0,78734.0,60843.0,228483.0,80107.0,84228.0,82571.0,246906.0,Up is Good
